&	dan
/	atau
@	di
+	tambah
=	sama dengan
7an	tujuan
aaamiiin	amin
aaamiin	amin
aamiiin	amin
aamiin	amin
aamin	amin
ababil	anak muda labil
abal	palsu
abal2	palsu
abis	habis
acc	disetujui
accord	sesuai
ad	ada
adlah	adalah
adlh	adalah
adoh	aduh
afaik	as far as i know
aha	tertawa
ahaha	haha
ahiok	ahok
ahokncc	ahok
aing	saya
aj	saja
aja	saja
ajepajep	dunia gemerlap
ajj	saja
ak	aku
ak	saya
aka	dikenal juga sebagai
akhirx	akhirnya
akika	aku
akko	aku
akkoh	aku
akku	aku
akooh	aku
akuwh	aku
akyu	aku
alay	norak
albm	album
aljasa	asal jadi saja
all	semua
almaidahyg	almaidah
alow	halo
ama	sama
ambilin	ambilkan
ambl	ambil
amerik	amarika
amiin	amin
ampe	sampai
analisise	analisis
ancur	hancur
angis	nangis
anjay	anjing
anjim	anjing
anjir	anjing
anjrit	anjing
ank	anak
anter	antar
any	setiap
anyway	ngomong ngomong
ap	apa
ap2	apa apa
apaan	apa
apasih	apa sih
apd	alat pelindung diri
ape	apa
apes	sial
aplot	unggah
aps	apa
apva	apa
aq	aku
aqu	aku
aquwh	aku
asap	secepatnya
asap	sesegera mungkin
asbun	asal bunyi
aseek	asyik
aseekk	asyik
asek	asyik
asekk	asyik
aseknya	asyiknya
asem	asam
asik	asyik
askum	assalamuallaikum
asn	aparatur sipil negara
asoy	asyik
aspal	asli tetapi palsu
astrojim	astagfirullahaladzim
astul	asal tulis
ath	kalau begitu
ato	atau
ato	atau
atuh	kalau begitu
atw	atau
au ah	tidak mau tahu
ava	foto profil
awak	saya
aws	awas
ay	sayang
ayang	sayang
ayank	sayang
ayok	ayo
ayoo	ayo
ayooo	ayo
ayyo	ayo
b4	sebelum
babe	bapak
bacot	banyak bicara
baget	keras kepala
bajir	banjir
bajir	banjir
bakalan	akan
bales	balas
bandes	bantuan desa
bangdes	pembangunan desa
bangedh	banget
bangkotan	tua
banpol	bantuan polisi
banpres	bantuan presiden
banpur	bantuan tempur
bansarkas	bantuan sarana Kesehatan
bansos	bantuan sosial
baper	bawa perasaan
bapuk	rusak
basbang	basi
bathin	batin
bawaslu	badan pengawas pemilihan umum
bazis	badan amal, zakat, infak, dan sedekah
bcanda	bercanda
bcoz	karena
bcr	bicara
bcs	karena
bcz	karena
bdg	bandung
beb	sayang
bebal	bodoh
bebeb	pacar
becus	mampu
bedakin	bedak
begajulan	nakal
begin	awal
bejibun	banyak
bejibun	bertumpuk banyak
beliin	belikan
belom	belum
benarjujur	benar
bences banci
bencong	banci
bener	benar
bentar	sebentar
benul	betul
ber2	berdua
ber3	bertiga
ber3	bertiga
berdikari	berdiri di atas kaki sendiri
beresin	membereskan
bet	banget
bete	bosan
beti	beda tipis
better	lebih baik
beud	banget
beut	banget
bf	pacar
bg	abang
bgd	banget
bgmn	bagaimana
bgs	bagus
bgt	banget
bgt	banget
bhas	bahas
bhay	sampai jumpa lagi
bhg	bahagia
bhubu	tidur
bijimane	bagaimana
bikin	buat
bimbuluh	bimbingan dan penyuluhan
bingit	banget
bingo	banget
bintal	bimbingan mental
bisi	kalau kalau
bkl	akan
bklan	bakalan
bkn	bukan
bknnya	bukannya
bl	beli
blegug	bodoh
blg	bilang
blh	boleh
blm	belum
bln	bulan
bls	balas
blum	belum
bnchi	benci
bnci	benci
bngung	bingung
bnr	benar
bnran	yang benar
bnyk	banyak
bodor	lucu
body	tubuh
bohay	badan aduhai
bokap	ayah
bokep	porno
boker	buang air besar
bokin	pacar
bokis	bohong
bole	boleh
boljug	boleh juga
bolot	bodoh
bonek	bocah nekat
bonyok	ayah ibu
boyeh	boleh
bpk	bapak
br	baru
bray	saudara laki-laki
brb	segera kembali
bre	saudara laki-laki
brg	bareng
brjaya	berjaya
brngkt	berangkat
bro	saudara laki
brp	berapa
bru	baru
bruh	saudara laki
brur	saudara laki
bs	bisa
bsa	bisa
bsen	bosan
bsk	besok
bt	bosan
btw	ngomong ngomong
bu_bu	tidur
buangbuang	buang
bubarin	bubarkan
bubbu	tidur
buber	buka bersama
bubu	tidur
bujubune	luar biasa
bumil	ibu hamil
buser	buru sergap
buzzerbuzzer	buzzer
bw	bawa
bwhn	bawahan
bwt	buat
bwt	buat
byar	bayar
bye	sampai jumpa lagi
byk	banyak
byr	bayar
byrin	bayarkan
c8	chat
cabal	sabar
cabut	pergi
cadas	keren
caem	cakep
cagub	calon gubernur
calo	makelar
cama cama	sama sama
can	belum
cangcut	celana dalam
capcus	pergi
cape	capek
capej	capek
capek	lelah
caper	cari perhatian
cashback	uang Kembali
caur	jelek
cawakot	calon wali kota
cawalkot	calon wali kota
cawalkot	calon wali kota
cayalah	percaya
cb	coba
ce cewek
ce	cewek
cekak	tidak ada uang
cekal	cegah tangkal
cekidot	coba lihat
cemen	penakut
cemplungin	cemplungkan
cengengesan	tertawa
ceper	pendek
cepet	cepat
ceu	kakak perempuan
cew	cewek
cew	cewek
cewe	cewek
chakep	cakep
chuyunk	sayang
cibuk	sibuk
cimeng	ganja
cin	cinta
cipika cipiki	cium pipi kanan cium pipi kiri
ciye	cie
ciyh	sih
ckck	ck
ckepp	cakep
ckp	cukup
clbk	cinta lama bersemi kembali
cluster	klaster
cm	cuma 
cmiiw	koreksi saya jika saya salah
cmpr	campur
cmpur	campur
cnenk	senang
cnt	cinta
co cowok
cong	banci
congor	mulut
congrats	selamat
conlok	cinta lokasi
connect		menghubung
contest	kontes
count	hitung
cow	cowok
cow	cowok
cowwyy	maaf
coz	karena
cp	siapa
cpa	siapa
cpe	capek
cppa	siapa
cppe	capek
cr	cara
crop	potong
cucok	cocok
cuek	tidak acuh
cuex	cuek
cuman	Cuma
cumi	Cuma miscall
cungkring	kurus tinggi
cups	culun
cupu	culun
curanmor	pencurian kendaraan bermotor
curas	pencurian dengan kekerasan
curcol	curahan hati colongan
curhat	curahan hati
cwe	cewek
cwek	cewek
cwo	cowok
cwok	cowok
cya	sampai jumpa lagi
cyin	cinta
cz	karena
d	di
da	ada
dafuk	kurang ajar
dagh	sudah
dah	deh
damang	sehat
damat	tidak peduli
dapet	dapat
dateng	datang
de	adik
dech	deh
dek	adik
deket	dekat
demen	suka
dempa	demi apa
dengerin	dengarkan
des	desember
detected	terdeteksi
detector	pendeteksi
deyh	deh
dg	dengan
dgn	dengan
dh	deh
diancurin	dihancurkan
digosipin	digosipkan
dimaafin	dimaafkan
dimana2	dimana mana
dimintak	diminta
dimna	dimana
disember	desember
disono	di sana
diuber	dikejar
dket	dekat
dkit	sedikit
dkk	dan kawan kawan
dkt	dekat
dl	dulu
dll	dan lain lain
dlm	dalam
dlu	dulu
dlu	dulu
dmn	dimana
dngn	dengan
doang	saja
dodol	bodoh
doi	dia
doku	uang
dom	domisili
done	selesai
dongs	dong
donlot	unduh
download	unduh
dpt	dapat
dr	dari
dri	dari
drmana	darimana
drmn	darimana
drpd	daripada
drtd	dari tadi
dsb	dan sebagainya
dsna	disana
dst	dan seterusnya
dstu	disitu
dtg	datang
dugem	dunia gemerlap
duh	aduh
duit	uang
dungu	bodoh
duren	durian
dy	dia
dzolim	zalim
ed	edisi
edan	gila
ego	emosi
egp	emang gue pikirin
eike	aku
eke	aku
elo	kamu
elu	kamu
elu	kamu
emang	memang
emangnya	memangnya
emank	memang
emg	memang
emng	memang
emte	makan teman
ena	enak
endak	tidak
engga	tidak
enggak	tidak
entar	nanti
entertainment	hiburan
envy	iri
epemilu	pemilu elektronik
